participant,juego_norm,pupil_mean,pupil_std,movimiento_mean,gaze_x_var,gaze_y_var,asco,ira/enfado,ansiedad,miedo,frustración,entusiasmo/excitación,alegría,felicidad/placer,tristeza/depresión,fatiga/cansancio,aburrimiento,satisfacción,relax,nasa_mental,nasa_fisica,nasa_temporal,nasa_rendimiento,nasa_esfuerzo,nasa_frustracion,nasa_rendimiento_inv,afecto_positivo,afecto_negativo,balance_emocional,nasa_carga_total
cm13031630,fallguys,3.8190623708499802,0.29286037049956054,14.11284940431236,0.07781359741092896,0.1497321012917877,1,2,2,1,5,5,5,5,1,1,1,5,2,3,5,5,4,4,6,7,4.4,1.75,2.6500000000000004,5.0
cm13031630,fallguys,3.8190623708499802,0.29286037049956054,14.11284940431236,0.07781359741092896,0.1497321012917877,1,2,2,1,5,5,5,5,1,1,1,5,2,3,5,5,4,4,6,7,4.4,1.75,2.6500000000000004,5.0
cm13031630,sonic,3.991860498523584,0.2652732235750438,13.821275736305736,0.06401923842705733,0.12306887890352132,1,2,1,1,3,5,5,4,1,1,1,5,3,6,6,7,6,6,4,5,4.4,1.375,3.0250000000000004,5.666666666666667
cm13031630,tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,2,1,5,3,4,5,1,1,1,5,3,4,2,5,4,4,4,7,4.0,1.625,2.375,4.333333333333333
cm13031630,tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,2,1,5,3,4,5,1,1,1,5,3,4,2,5,4,4,4,7,4.0,1.625,2.375,4.333333333333333
eg08041310,fallguys,3.3665601669941068,0.6186598645707685,24.580704096234655,0.07138921944625445,0.1720136608072498,1,2,4,2,4,6,6,6,1,1,1,3,4,8,8,6,2,10,10,9,5.0,2.0,3.0,8.5
eg08041310,fallguys,3.3665601669941068,0.6186598645707685,24.580704096234655,0.07138921944625445,0.1720136608072498,1,2,4,2,4,6,6,6,1,1,1,3,4,8,8,6,2,10,10,9,5.0,2.0,3.0,8.5
eg08041310,sonic,3.5279072584616404,0.36087015519990795,19.89298469357053,0.05732704430320068,0.17273594020591057,1,3,4,2,3,5,5,6,1,1,1,4,2,7,7,6,8,8,5,3,4.4,2.0,2.4000000000000004,6.0
eg08041310,tetris,3.4350999574045162,0.3602888310033552,17.03775479322241,0.0527089299647808,0.17416781618429328,4,6,5,4,6,2,2,2,3,1,1,1,1,7,8,8,1,1,9,10,1.6,3.75,-2.15,7.166666666666667
eg08041310,tetris,3.4350999574045162,0.3602888310033552,17.03775479322241,0.0527089299647808,0.17416781618429328,4,6,5,4,6,2,2,2,3,1,1,1,1,7,8,8,1,1,9,10,1.6,3.75,-2.15,7.166666666666667
hp15011600,fallguys,3.8910878965221616,0.16448771194952586,12.46940187775733,0.019343355050908527,0.051891763015856594,1,4,5,1,3,5,5,5,1,1,1,4,3,4,4,5,5,5,4,6,4.4,2.125,2.2750000000000004,4.666666666666667
hp15011600,fallguys,3.8910878965221616,0.16448771194952586,12.46940187775733,0.019343355050908527,0.051891763015856594,1,4,5,1,3,5,5,5,1,1,1,4,3,4,4,5,5,5,4,6,4.4,2.125,2.2750000000000004,4.666666666666667
hp15011600,sonic,4.006763946711075,0.15911747597637774,11.980957732688756,0.024512750066526603,0.05506137373766113,1,3,6,1,4,5,5,5,1,2,1,5,2,5,6,6,5,6,4,6,4.4,2.375,2.0250000000000004,5.5
hp15011600,tetris,3.8910878965221616,0.16448771194952586,12.46940187775733,0.019343355050908527,0.051891763015856594,1,4,3,1,4,5,5,5,1,1,1,4,3,6,7,8,7,7,6,4,4.4,2.0,2.4000000000000004,6.333333333333333
hp15011600,tetris,3.8910878965221616,0.16448771194952586,12.46940187775733,0.019343355050908527,0.051891763015856594,1,4,3,1,4,5,5,5,1,1,1,4,3,6,7,8,7,7,6,4,4.4,2.0,2.4000000000000004,6.333333333333333
jj04111142,fallguys,3.2492444281599036,0.28061350469132185,15.221187253854653,0.06457581868240674,0.08795105866581994,3,5,5,1,5,6,6,6,2,3,2,5,2,9,8,8,8,7,8,3,5.0,3.25,1.75,7.166666666666667
jj04111142,fallguys,3.2492444281599036,0.28061350469132185,15.221187253854653,0.06457581868240674,0.08795105866581994,3,5,5,1,5,6,6,6,2,3,2,5,2,9,8,8,8,7,8,3,5.0,3.25,1.75,7.166666666666667
jj04111142,sonic,3.3346233301031365,0.19597327740283194,15.963517104681765,0.05575298325845021,0.1227324191159953,1,5,5,1,6,5,4,4,4,3,2,3,1,7,2,6,6,6,8,5,3.4,3.375,0.02499999999999991,5.666666666666667
jj04111142,tetris,3.149459404525459,0.2056436072859673,15.620281251186402,0.04981016736509475,0.1486412896663654,1,3,6,2,7,5,5,6,4,3,3,5,1,8,3,6,5,8,8,6,4.4,3.625,0.7750000000000004,6.5
jj04111142,tetris,3.149459404525459,0.2056436072859673,15.620281251186402,0.04981016736509475,0.1486412896663654,1,3,6,2,7,5,5,6,4,3,3,5,1,8,3,6,5,8,8,6,4.4,3.625,0.7750000000000004,6.5
jj22111100,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,4,1,3,6,5,5,2,2,2,6,3,6,3,4,8,6,4,3,5.0,2.125,2.875,4.333333333333333
jj22111100,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,4,1,3,6,5,5,2,2,2,6,3,6,3,4,8,6,4,3,5.0,2.125,2.875,4.333333333333333
jj22111100,sonic,3.2262644904356734,0.18483482349636018,14.010172136682089,0.03565829626954385,0.07927215207164824,1,2,3,1,4,4,4,4,1,3,2,4,5,8,7,7,6,8,6,5,4.2,2.125,2.075,6.833333333333333
jj22111100,tetris,3.2262644904356734,0.18483482349636018,14.010172136682089,0.03565829626954385,0.07927215207164824,1,2,3,1,3,5,5,5,2,4,3,5,3,6,7,8,9,7,3,2,4.6,2.375,2.2249999999999996,5.5
jj22111100,tetris,3.2262644904356734,0.18483482349636018,14.010172136682089,0.03565829626954385,0.07927215207164824,1,2,3,1,3,5,5,5,2,4,3,5,3,6,7,8,9,7,3,2,4.6,2.375,2.2249999999999996,5.5
mc08041200,fallguys,3.437296381751443,0.2838345629607003,16.499681647117193,0.07479404821463509,0.12452568142002451,1,1,3,1,6,5,6,6,1,1,1,4,1,9,10,8,8,8,9,3,4.4,1.875,2.5250000000000004,7.833333333333333
mc08041200,fallguys,3.437296381751443,0.2838345629607003,16.499681647117193,0.07479404821463509,0.12452568142002451,1,1,3,1,6,5,6,6,1,1,1,4,1,9,10,8,8,8,9,3,4.4,1.875,2.5250000000000004,7.833333333333333
mc08041200,sonic,3.4413641089313804,0.26277548007771606,14.288827479868578,0.057479199995067606,0.1337424659534702,1,1,2,1,5,4,5,5,1,1,1,5,2,7,7,8,9,8,7,2,4.2,1.625,2.575,6.5
mc08041200,tetris,3.2715716284173,0.18698912287113137,14.01132688734993,0.039941596337683016,0.11856447005252603,1,1,3,1,5,6,6,6,1,1,2,6,3,4,4,5,9,6,6,2,5.4,1.875,3.5250000000000004,4.5
mc08041200,tetris,3.2715716284173,0.18698912287113137,14.01132688734993,0.039941596337683016,0.11856447005252603,1,1,3,1,5,6,6,6,1,1,2,6,3,4,4,5,9,6,6,2,5.4,1.875,3.5250000000000004,4.5
ra26021030,fallguys,2.945002161160853,0.16214354523230878,16.478195927928525,0.05284792903745367,0.0905586133424476,1,1,1,1,2,5,5,4,1,1,2,3,3,5,3,4,4,6,3,7,4.0,1.25,2.75,4.666666666666667
ra26021030,fallguys,2.945002161160853,0.16214354523230878,16.478195927928525,0.05284792903745367,0.0905586133424476,1,1,1,1,2,5,5,4,1,1,2,3,3,5,3,4,4,6,3,7,4.0,1.25,2.75,4.666666666666667
